CH1,CH1,CH1,,,,CL,CC,
RawData,BaseLine,Diff,,,,8,10,10240
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3664,3665,-1,,,,,,
3665,3665,0,,,,,,
3743,3665,78,,,,,,
7790,3665,4125,,,,,,
7038,3665,3373,,,,,,
3723,3665,58,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
7999,3665,4334,,,,,,
4516,3665,851,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
7999,3665,4334,,,,,,
4864,3665,1199,,,,,,
7472,3665,3807,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
4832,3665,1167,,,,,,
7268,3665,3603,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
7999,3665,4334,,,,,,
7202,3665,3537,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
5663,3665,1998,,,,,,
7603,3665,3938,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
8000,3665,4335,,,,,,
7999,3665,4334,,,,,,
7399,3665,3734,,,,,,
3810,3665,145,,,,,,
3752,3665,87,,,,,,
3721,3665,56,,,,,,
3718,3665,53,,,,,,
3715,3665,50,,,,,,
3686,3665,21,,,,,,
3659,3665,-6,,,,,,
3661,3665,-4,,,,,,
3665,3665,0,,,,,,
3665,3665,0,,,,,,
3666,3665,1,,,,,,
3667,3665,2,,,,,,
3665,3665,0,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3669,3665,4,,,,,,
3670,3665,5,,,,,,
3670,3665,5,,,,,,
3670,3665,5,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3672,3665,7,,,,,,
3671,3665,6,,,,,,
3671,3666,5,,,,,,
3672,3666,6,,,,,,
3672,3666,6,,,,,,
3672,3666,6,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3672,3666,6,,,,,,
3671,3666,5,,,,,,
3672,3666,6,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3671,3666,5,,,,,,
3672,3666,6,,,,,,
3672,3666,6,,,,,,
3671,3666,5,,,,,,
3671,3667,4,,,,,,
3671,3667,4,,,,,,
